epoch,IoU,auc,binaryCE,dice_coef,dice_loss,loss,pr_auc,precision,recall,val_IoU,val_auc,val_binaryCE,val_dice_coef,val_dice_loss,val_loss,val_pr_auc,val_precision,val_recall,val_weighted_bce,weighted_bce
39,0.7037942409515381,0.986897885799408,0.05343819409608841,0.7804285883903503,0.21957126259803772,0.23782208561897278,0.8647215366363525,0.8748447299003601,0.9250365495681763,0.7125443816184998,0.9848601222038269,0.03680901229381561,0.7806053757667542,0.21939435601234436,0.2542363405227661,0.8645938038825989,0.8702465295791626,0.9331339597702026,0.3571650981903076,0.2925744652748108
40,0.7012758255004883,0.9941680431365967,0.01660199463367462,0.7755544185638428,0.22444570064544678,0.20948006212711334,0.8781771063804626,0.87697434425354,0.9378572106361389,0.7410940527915955,0.9865562319755554,0.02208622545003891,0.8080844879150391,0.19191545248031616,0.2450556606054306,0.8638588190078735,0.8639442920684814,0.9367077946662903,0.4028870463371277,0.16458305716514587
41,0.6803594827651978,0.9896574020385742,0.046853989362716675,0.7517565488815308,0.24824297428131104,0.26286253333091736,0.8586024641990662,0.8641625046730042,0.9267629384994507,0.6492465734481812,0.9932376742362976,0.03453487902879715,0.728943407535553,0.2710563838481903,0.2705208659172058,0.7698274254798889,0.744170069694519,0.9614495635032654,0.267101913690567,0.30672091245651245
42,0.7068843841552734,0.9913671016693115,0.023477688431739807,0.7778161764144897,0.22218389809131622,0.23915313184261322,0.8741940259933472,0.87748783826828,0.93565434217453,0.7546804547309875,0.9845396876335144,0.030959555879235268,0.8221884369850159,0.1778116375207901,0.23969829082489014,0.8668985366821289,0.8741459846496582,0.9306969046592712,0.4239099323749542,0.29006126523017883
43,0.7191712856292725,0.9920166730880737,0.028625190258026123,0.7890748381614685,0.2109249085187912,0.22945992648601532,0.8828662633895874,0.8845179080963135,0.9352335333824158,0.7280946373939514,0.9835949540138245,0.04766416922211647,0.7886133193969727,0.21138668060302734,0.37878426909446716,0.8631551265716553,0.8648422956466675,0.9282227754592896,0.8781943321228027,0.2850652039051056
44,0.7201241254806519,0.9831069707870483,0.48775896430015564,0.7860291004180908,0.21397103369235992,0.34097325801849365,0.8679220676422119,0.8820899128913879,0.9217918515205383,0.7372792363166809,0.9855974316596985,0.03940203785896301,0.8007411956787109,0.19925855100154877,0.3187965750694275,0.8709607720375061,0.8692256808280945,0.9340478777885437,0.6751383543014526,0.7219804525375366
45,0.7357171773910522,0.9942401647567749,0.01750847138464451,0.8067426681518555,0.19325748085975647,0.20733343064785004,0.8863634467124939,0.8854017853736877,0.9377912878990173,0.7303517460823059,0.9870151877403259,0.01890438422560692,0.7992129325866699,0.20078705251216888,0.22312436997890472,0.8729231357574463,0.8823665380477905,0.9222267866134644,0.2888059914112091,0.2495608925819397
46,0.7445813417434692,0.9939562678337097,0.015306806191802025,0.8183474540710449,0.1816529482603073,0.1776624470949173,0.8937655687332153,0.8958386182785034,0.9376494288444519,0.7351370453834534,0.9892916083335876,0.022168001160025597,0.8050589561462402,0.19494125247001648,0.2186400294303894,0.8589989542961121,0.8528609275817871,0.9442715048789978,0.2884065806865692,0.16569103300571442
47,0.710940420627594,0.9941153526306152,0.01581227406859398,0.7822003364562988,0.21780015528202057,0.20706474781036377,0.8893131613731384,0.8907797336578369,0.9359855055809021,0.6114855408668518,0.9945774078369141,0.011633381247520447,0.6829958558082581,0.31700387597084045,0.27577903866767883,0.8784781098365784,0.8767920732498169,0.9335760474205017,0.15033431351184845,0.17485849559307098
48,0.7124263048171997,0.9947271943092346,0.017034150660037994,0.7849448919296265,0.2150554656982422,0.20053723454475403,0.8928732872009277,0.8931763172149658,0.939655601978302,0.6918652653694153,0.9915049076080322,0.013560374267399311,0.7609493136405945,0.2390507459640503,0.24320325255393982,0.878902792930603,0.8884646892547607,0.9259566068649292,0.2541255056858063,0.15698358416557312
49,0.7212021946907043,0.9960432052612305,0.011420972645282745,0.794613778591156,0.20538628101348877,0.1897767037153244,0.9017859697341919,0.9030577540397644,0.9384172558784485,0.7510761022567749,0.9921156167984009,0.023309262469410896,0.8191689252853394,0.18083086609840393,0.2011924833059311,0.8777984380722046,0.8772932887077332,0.939731776714325,0.2611187696456909,0.14294883608818054
50,0.7405902147293091,0.9930360913276672,0.022847730666399002,0.8110576272010803,0.18894216418266296,0.19134372472763062,0.8874415755271912,0.8914878964424133,0.936437726020813,0.7203677892684937,0.9938902854919434,0.01600944995880127,0.7905700206756592,0.2094300389289856,0.23165291547775269,0.8917621970176697,0.9003369808197021,0.9151608347892761,0.29689881205558777,0.19854889810085297
51,0.7107928991317749,0.9951055645942688,0.03934116289019585,0.7838831543922424,0.21611647307872772,0.21161064505577087,0.8946086168289185,0.8967195153236389,0.9360139966011047,0.7170751690864563,0.987218976020813,0.040853533893823624,0.7858946919441223,0.21410542726516724,0.23773568868637085,0.874070942401886,0.8789423704147339,0.9281595945358276,0.3071984648704529,0.19809263944625854
52,0.7260439991950989,0.9904167652130127,0.0918554812669754,0.7997754812240601,0.20022404193878174,0.20564939081668854,0.8829140663146973,0.8901487588882446,0.9325976371765137,0.7442609071731567,0.987949788570404,0.08737870305776596,0.8123970031738281,0.18760286271572113,0.2620190382003784,0.8309271931648254,0.8285800814628601,0.9452670812606812,0.4835384488105774,0.22192487120628357
53,0.6882491707801819,0.9923572540283203,0.07849406450986862,0.7597764134407043,0.2402234822511673,0.2421230673789978,0.8678439259529114,0.868969738483429,0.9377120137214661,0.7545239329338074,0.9867225885391235,0.06993786245584488,0.82119220495224,0.17880763113498688,0.23797136545181274,0.8666621446609497,0.8738186359405518,0.9298127889633179,0.41399499773979187,0.24782155454158783
54,0.7481492757797241,0.9936256408691406,0.04070185497403145,0.8176073431968689,0.18239270150661469,0.19495756924152374,0.8880504369735718,0.8901327848434448,0.9357454180717468,0.7432193160057068,0.9890663027763367,0.028113067150115967,0.8110363483428955,0.18896378576755524,0.21782907843589783,0.8779368996620178,0.8823585510253906,0.930403470993042,0.30309468507766724,0.23265284299850464
55,0.754336416721344,0.9935216307640076,0.038955528289079666,0.8222715854644775,0.1777290403842926,0.2048746794462204,0.8934481143951416,0.8988937139511108,0.9328096508979797,0.7486941814422607,0.9842217564582825,0.04333409294486046,0.8093297481536865,0.19067002832889557,0.35729655623435974,0.8662644028663635,0.8744468688964844,0.9308677911758423,0.8545611500740051,0.28631192445755005
56,0.7088373899459839,0.9936500787734985,0.03374075889587402,0.7796143889427185,0.22038574516773224,0.23984794318675995,0.877866268157959,0.8762515187263489,0.934548020362854,0.7297396659851074,0.9892443418502808,0.019737623631954193,0.7975617051124573,0.20243823528289795,0.23341722786426544,0.8632844090461731,0.8687854409217834,0.9316479563713074,0.32492220401763916,0.29823410511016846
57,0.713474690914154,0.9933355450630188,0.0290705356746912,0.7866679430007935,0.21333195269107819,0.21826161444187164,0.8797019124031067,0.8833849430084229,0.936974287033081,0.7259555459022522,0.9920053482055664,0.019703546538949013,0.7981197834014893,0.20187996327877045,0.20961298048496246,0.8711271286010742,0.8673871159553528,0.9338992238044739,0.2316090166568756,0.23305045068264008
58,0.7411218881607056,0.9953585267066956,0.019304387271404266,0.8106628060340881,0.18933726847171783,0.18583109974861145,0.8991914987564087,0.9005206227302551,0.9390618801116943,0.715036153793335,0.9902973175048828,0.03200622648000717,0.7899754643440247,0.21002455055713654,0.23576849699020386,0.8171890377998352,0.8040693998336792,0.9583624601364136,0.31150320172309875,0.175311878323555
59,0.6883208155632019,0.9929242134094238,0.030886797234416008,0.7617906332015991,0.23820863664150238,0.2393084466457367,0.8798326849937439,0.882636547088623,0.9360184669494629,0.6374833583831787,0.9915749430656433,0.021275337785482407,0.7113409042358398,0.28865930438041687,0.2829616665840149,0.8410831093788147,0.8226287961006165,0.9463073015213013,0.2639361619949341,0.24260768294334412
60,0.7390986084938049,0.9950853586196899,0.020749807357788086,0.8096441030502319,0.19035498797893524,0.1964913159608841,0.8992842435836792,0.9012317657470703,0.9374443888664246,0.7524098753929138,0.99177086353302,0.03571682795882225,0.8186332583427429,0.1813669204711914,0.23086191713809967,0.8651115894317627,0.8709442615509033,0.9375770688056946,0.3779173493385315,0.2148999124765396
61,0.7299483418464661,0.996384859085083,0.017318326979875565,0.800172746181488,0.19982746243476868,0.196531742811203,0.8996498584747314,0.900757372379303,0.9410353302955627,0.7516915798187256,0.9928563237190247,0.024586744606494904,0.818306028842926,0.18169435858726501,0.21937434375286102,0.8815947771072388,0.8876529932022095,0.9291403293609619,0.33109772205352783,0.18664495646953583
